English,Chinese
Anything that can be misunderstood will be.,可能帶來誤解的情況都是不可避免的。
Any universe simple enough to be understood is too simple to produce a mind able to understand it.,任何簡單到可以被了解的宇宙便太過簡單而無法產生可以了解它的心靈。
Why is life so full of suffering?,为什么生活充满着那么多痛苦?
The train from Geneva will arrive at the station.,从日内瓦来的火车就要进站了。
I'm starving!,我饿死了！
I'm starving!,我餓死了！
I am married and have two children.,我结婚了，而且有两个孩子。
I am married and have two children.,我已婚，有两个孩子。
You don't know who I am.,您不知道我是谁。
Why don't you eat vegetables?,为什么你不吃蔬菜？
I'm undressing.,我脱衣服。
I'm undressing.,我在脫衣服。
There are no real visions.,没有真实的幻觉。
"There's no point saying ""Hi, how are you?"" to me if you have nothing else to say.",如果你没有其它可说的，那对我说“嗨，你怎么样？”就毫无意义。
"In a dictionary like this one there should be at least two sentences with ""fridge"".",這樣的字典最少也應該有兩句「冰箱」的例句吧。
Creationism is a pseudo-science.,创造主义是一种伪科学。
The wind calmed down.,风停了。
A democrat is a free citizen who yields to the will of the majority.,民主主义者是屈服于大部分人的自由公民。
"Where there's a will, there's a way.",有志者事竟成。
"Who searches, finds.",探寻的人，终归能找到。
Rome wasn't built in a day.,罗马不是一天建成的。
Rome wasn't built in a day.,冰冻三尺，非一日之寒。
Silence gives consent.,沉默就意味着同意。
Wine is poetry in bottles.,酒是灌入瓶中的诗。
That was the best day of my life.,那是我生命中最美的一天。
I don't understand German.,我不懂德语。
I made my decision.,我已經決定好了。
I give you my word.,我向你保证。
"Mathematicians are poets, except that they have to prove what their fantasy creates.",數學家是詩人，不過他們必須也能證明他們想像力的果實。
Mathematicians are like French people: whatever you tell them they translate it into their own language and turn it into something totally different.,数学家就像是法国人：不管你跟他们说什么，他们都会把这翻译成他们自己的语言，并将其变成一些完全不同的东西。
"There are 10 types of people in the world: those who understand binary, and those who don't.",世界上有10种人：懂二进制和不懂二进制的人。
"There are 10 types of people in the world: those who understand binary, and those who don't.",世界上有10种人：懂二进制的人和不懂二进制的人。
"Don't worry, be happy!",不要担心，开心点！
I don't like learning irregular verbs.,我不喜欢学习不规则动词。
Take a book and read it.,拿本书读！
He's already a man.,他已经是个男人了。
The vacation is over now.,现在假期结束了。
I'm afraid to fall.,我怕摔倒。
It's cold.,天很冷。
It's cold.,很冷。
I'm thirsty.,我渴了。
"When I ask people what they regret most about high school, they nearly all say the same thing: that they wasted so much time.",当我问人家高中时代他们最后悔的是什么时，他们几乎所有人都回答一致：他们浪费了那么多时间。
Give him an inch and he'll take a yard.,得寸进尺。
You did this intentionally!,你是故意这么做的！
You did this intentionally!,你是故意這樣做的!
You didn't tell him anything?,你什么都没跟他说？
You're irresistible.,你令人难以抗拒。
"Could you call again later, please?",你可以晚點再打電話來嗎？
At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.,他六歲的時候學會了用打字機，便和老師說他不用學執筆寫字了。
Life is beautiful.,生命是美麗的。
Life is beautiful.,人生是美好的。
Life is beautiful.,生活是美丽的。
I can't take it anymore! I haven't slept for three days!,我已經三天沒睡覺了，真是睏死了！
I can't take it anymore! I haven't slept for three days!,我不行了！我已经三天没睡过了！
He doesn't want you to tell him about your sex life.,他不希望你们对他谈论你们的性生活。
He doesn't want you to tell him about your sex life.,他不希望你对他谈论你们的性生活。
Have you ever eaten a banana pie?,你吃过香蕉派吗？
Why would you marry a woman if you like men?,喜欢男人，为什么还要和女人结婚？
"If you can't have children, you could always adopt.",如果你不能有孩子，你总能领养。
Are you for or against abortions?,你支持还是反对堕胎？
"Hey, look, a three-headed monkey!",嗨看呀，一只三个头的猴子！
It's a pity that you can't buy miracles like you would buy potatoes.,可惜我们不能像买土豆一样买奇迹。
I love lasagna.,我爱千层面。
"Prime numbers are like life; they are completely logical, but impossible to find the rules for, even if you spend all your time thinking about it.",質數就像人生，它們完全是合邏輯的，但就算你花多少時間來思考，也不能找到它們背後的規律。
"Prime numbers are like life; they are completely logical, but impossible to find the rules for, even if you spend all your time thinking about it.",质数就像生活，它们是完全符合逻辑的，但即使我们花所有时间来思考，也找不到规律。
The brain is just a complicated machine.,大腦只是個複雜的機器。
This baby penguin is too cute!,这只企鹅宝宝太可爱了！
What is your greatest source of inspiration?,什么是您最大的灵感来源？
"In theory, there is no difference between theory and practice. But, in practice, there is.",理论上说，理论和实践没有区别。但实践上说，是有的。
It requires wisdom to understand wisdom: the music is nothing if the audience is deaf.,要用智慧来理解智慧：如果听众是聋的话，那音乐什么都不是。
I don't want to go to school.,我不想去学校。
It's over between us. Give me back my ring!,我们之间完了，把戒指还给我！
It is raining.,下雨了。
It is raining.,在下雨。
"I was planning on going to the beach today, but then it started to rain.",我本来预备今天去海滩的，但接着天就开始下雨了。
"She's really smart, isn't she?",她真的很聪明，不是吗？
"People who love doubt nothing, or doubt everything.",喜欢的人什么都不怀疑，或什么都疑神疑鬼。
Justice is expensive.,公正的代价很高。
Liberty consists of being able to make everything as harmless as possible.,自由旨在能够做所有不伤害其他人的事。
Every opinion is a mixture of truth and mistakes.,所有意见是真相和错误的综合。
Every opinion is a mixture of truth and mistakes.,任何意見都是事實與謬誤的混合體。
Life is a fatal sexually transmitted disease.,生命是一種致命的性傳染病。
"If two men always have the same opinion, one of them is unnecessary.",如果两个人总是意见相同，那么他们其中一个就没必要了。
"Tomorrow, I'm going to study at the library.",我明天去圖書館溫習。
I went to the zoo yesterday.,我昨天去了动物园。
We won the battle.,我们战争胜利了。
Hello? Are you still here?,喂？你还在吗？
I watched TV this morning.,我今天早上看了电视。
I slept a little during lunch break because I was so tired.,我在午休时间睡了一会儿，因为我太累了。
I started learning Chinese last week.,我上周开始学中文了。
It is easier to hit on people on the Internet than in the street.,在网上勾人比在街上容易。
Someday I will buy a cotton candy machine.,有一天我买了一台棉花糖机。
It's practical to have a laptop.,有一台笔记本电脑很实用。
Your glasses fell on the floor.,你的眼镜掉在地上了。
How many times a day do you look at yourself in the mirror?,你一天照几次镜子？
